date,close
01-Mar-10,100
13-Apr-10,200
14-May-10,301
15-Jun-10,401
16-Jul-10,501
17-Aug-10,602
18-Sep-10,703
19-Oct-10,803
20-Sep-10,904
21-Dec-10,1004
01-Jan-11,1105
01-Feb-11,1206
02-Mar-11,1306
03-Apr-11,1407
04-May-11,1508
05-Jun-11,1608
06-Jul-11,1709
07-Aug-11,1809
08-Sep-11,1909
31-Oct-11,2010
01-Nov-11,2110
02-Dec-11,2210
01-Jan-12,2240
01-Feb-12,2270
01-Mar-12,2309
13-Apr-12,2409
14-May-12,2508
15-Jun-12,2608
16-Jul-12,2706
17-Aug-12,2805
18-Sep-12,2904
19-Oct-12,3002
20-Sep-12,3100
21-Dec-12,3197
01-Jan-13,3294
01-Feb-13,3391
02-Mar-13,3487
03-Apr-13,3583
04-May-13,3679
05-Jun-13,3774
06-Jul-13,3868
07-Aug-13,3962
08-Sep-13,4055
31-Oct-13,4147
01-Nov-13,4239
02-Dec-13,4330
03-Jan-14,4420
04-Feb-14,4510
05-Mar-14,4598
06-Apr-14,4685
07-May-14,4772
08-Jun-14,4857
09-Jul-14,4941
10-Aug-14,5023
11-Sep-14,5104
12-Oct-14,5183
13-Nov-14,5261
14-Dec-14,5336
07-Jan-15,5408
08-Feb-15,5478
09-Mar-15,5543
10-Apr-15,5603
